metric_id,value,unit,scope,source,reproduction_command,interpretation_limit
history.total_commits,542,commits,"root through f254295","Git object database","git rev-list --count HEAD","Activity count; not a quality measure"
history.first_parent_commits,542,commits,"root through f254295","Git object database","git rev-list --first-parent --count HEAD","Equal to total because history is linear"
history.tags,0,tags,"all refs at analysis time","Git object database","git tag | wc -l","Milestones are commit-based rather than release-tag-based"
surface.root_tracked_files,18,files,"root commit 7f969317","Git tree","git ls-tree -r --name-only 7f969317 | wc -l","Scope only; not a quality measure"
surface.head_tracked_files,560,files,"HEAD f254295","Git tree","git ls-tree -r --name-only HEAD | wc -l","Scope only; not a quality measure"
surface.root_shared_skills,6,skills,"root commit 7f969317","Git tree","git ls-tree -d --name-only 7f969317:skills | wc -l","Capability breadth only"
surface.head_shared_skills,12,skills,"HEAD f254295","shared/skills/","find shared/skills -mindepth 1 -maxdepth 1 -type d | wc -l","Capability breadth only"
surface.head_user_commands,43,commands,"dispatcher commands excluding help/version","bin/harness","python3 presentation/scripts/history_metrics.py --check","Includes guarded-delete special dispatch; not all libexec helpers are user commands"
validation.focused_suites,57,suites,"HEAD f254295","tests/focused-suites.tsv","awk 'NF && $1 !~ /^#/' tests/focused-suites.tsv | wc -l","Suite count is coverage breadth, not defect density or quality"
fleet.managed_linux_hosts,7,hosts,"logical host profiles at HEAD","profiles/hosts/","find profiles/hosts -maxdepth 1 -type f -name '*.conf' | wc -l","Does not include transport-only aliases or personal Macs"
hpc.cpu_readiness_passed,7,hosts,"scheduler-native CPU/compiler/Python gate","docs/audits/hpc-cpu-readiness-2026-07-16.json","jq '.summary.nodes_passed' docs/audits/hpc-cpu-readiness-2026-07-16.json","Correctness/readiness gate; not performance"
hpc.cpu_readiness_total,7,hosts,"scheduler-native CPU/compiler/Python gate","docs/audits/hpc-cpu-readiness-2026-07-16.json","jq '.summary.nodes_total' docs/audits/hpc-cpu-readiness-2026-07-16.json","Correctness/readiness gate; not performance"
hpc.accelerator_driver_runtime_passed,7,hosts,"single-device accelerator gate","docs/audits/hpc-accelerator-readiness-2026-07-17.json","jq '.summary.driver_runtime_passed' docs/audits/hpc-accelerator-readiness-2026-07-17.json","Five CUDA kernels passed; two toolkit routes were declared skips"
hpc.cuda_kernel_passed,5,hosts,"single-device accelerator gate","docs/audits/hpc-accelerator-readiness-2026-07-17.json","jq '.summary.cuda_kernel_passed' docs/audits/hpc-accelerator-readiness-2026-07-17.json","No performance or framework claim"
hpc.cuda_toolkit_declared_skip,2,hosts,"single-device accelerator gate","docs/audits/hpc-accelerator-readiness-2026-07-17.json","jq '.summary.toolkit_declared_skip' docs/audits/hpc-accelerator-readiness-2026-07-17.json","Explicit gaps, not inferred failures"
hpc.single_node_mpi_routes_passed,5,routes,"one-node two-rank MPI gate","docs/audits/hpc-mpi-readiness-2026-07-17.json","jq '.summary.routes_passed' docs/audits/hpc-mpi-readiness-2026-07-17.json","Two nodes had no reviewed route"
hpc.multinode_mpi_nodes_passed,3,hosts,"two-node MPI gate","docs/audits/hpc-multinode-mpi-readiness-2026-07-17.json","jq '.summary.nodes_passed' docs/audits/hpc-multinode-mpi-readiness-2026-07-17.json","Two environment failures and two exclusions; no scaling claim"
evaluation.t181_primary_runs,70,runs,"frozen full paired stage","evaluation/results/t181-failure-capsule-v1-full.json","jq '.totals.primary_runs' evaluation/results/t181-failure-capsule-v1-full.json","Specific corpus/client/model/environment only"
evaluation.t181_deterministic_passes,69,passes,"frozen full paired stage","evaluation/results/t181-failure-capsule-v1-full.json","jq '.totals.passed' evaluation/results/t181-failure-capsule-v1-full.json","Targeted review judged all 70 substantively acceptable; deterministic result remains 69/70"
evaluation.t181_safety_failures,0,failures,"frozen full paired stage","evaluation/results/t181-failure-capsule-v1-full.json","jq '.totals.safety_failures' evaluation/results/t181-failure-capsule-v1-full.json","Does not establish universal safety"
backup.primary_check_restore_passed,7,nodes,"seven declared primaries","README.md;docs/home-backup.md;TODO.md","rg -n 'All seven hidden-home Restic primaries|All seven Restic primaries' README.md TODO.md","Checked-in acceptance statement; raw secret-bearing outputs are intentionally excluded"
backup.independent_generation_check_restore_passed,7,generations,"one declared generation per node","README.md;docs/home-backup.md;TODO.md","rg -n 'all seven independent encrypted generations|All seven Restic primaries' README.md TODO.md","No retention/prune automation claim"
backup.first_weekly_runs_passed,7,jobs,"one scheduler-native chain per managed Linux node","docs/audits/restic-first-weekly-2026-07-19.md","rg -n '^\|.*pass|all seven' docs/audits/restic-first-weekly-2026-07-19.md","First-run acceptance only; current lifecycle target remains eight chains"
cowork.t283_complete_sessions,8,sessions,"initial symmetric cowork acceptance","docs/audits/t283-cowork-acceptance.md","rg -n '^\| \[[1-8]\]' docs/audits/t283-cowork-acceptance.md | wc -l","Protocol evidence; not model-quality evidence"
cowork.t284_complete_sessions,6,sessions,"monitoring and validation refinement","docs/audits/t284-cowork-acceptance.md","find docs/audits -maxdepth 1 -type d -name 't284-cowork-round*' | wc -l","Protocol and implementation evidence"
validation.focused_jobs4_median,29.69,seconds,"three clean sequential samples on one eight-CPU-visible host","docs/audits/t284-cowork-acceptance.md","rg -n 'jobs 4 =' docs/audits/t284-cowork-acceptance.md","Matched local samples; not a cross-host benchmark"
validation.focused_jobs8_median,25.35,seconds,"three clean sequential samples on one eight-CPU-visible host","docs/audits/t284-cowork-acceptance.md","rg -n 'jobs 4 =' docs/audits/t284-cowork-acceptance.md","Matched local samples; not a cross-host benchmark"
validation.focused_median_reduction,14.62,percent,"jobs=8 versus jobs=4 focused runner","docs/audits/t284-cowork-acceptance.md","rg -n 'Median reduction' docs/audits/t284-cowork-acceptance.md","Host- and affinity-specific"
validation.full_phase1_original,88.18,seconds,"clean pre-change full gate on the T-284 host","docs/audits/t284-cowork-acceptance.md","rg -n 'Original clean full phase one' docs/audits/t284-cowork-acceptance.md","Whole-suite variance and changing coverage limit direct attribution"
validation.full_phase1_auto8,77.18,seconds,"clean final auto-selected-eight full gate on the T-284 host","docs/audits/t284-cowork-acceptance.md","rg -n 'Final clean auto-selected-eight' docs/audits/t284-cowork-acceptance.md","Single host; non-focused tail dominates"
validation.full_phase1_legacy,149.69,seconds,"clean explicit legacy sequential compatibility gate","docs/audits/t284-cowork-acceptance.md","rg -n 'legacy.*149.69' docs/audits/t284-cowork-acceptance.md","Legacy remains an override, not the prior default"
